"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"GEM-ERP-EX-DeepLink","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Angabe eines Deep Links, der zum Öffnen der DiGA verwendet werden kann.","An Extension","","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"GEM-ERP-EX-DeepLink","Extension.id","Extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"GEM-ERP-EX-DeepLink","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"GEM-ERP-EX-DeepLink","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://gematik.de/fhir/erp/StructureDefinition/GEM_ERP_EX_DeepLink""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"GEM-ERP-EX-DeepLink","Extension.value[x]","Extension.value[x]","","","",0,1,"","","","url {[]} {[]}
","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"GEM-ERP-EX-RedeemCode","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"GEM-ERP-EX-RedeemCode","Extension.id","Extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"GEM-ERP-EX-RedeemCode","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"GEM-ERP-EX-RedeemCode","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://gematik.de/fhir/erp/StructureDefinition/GEM_ERP_EX_RedeemCode""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"GEM-ERP-EX-RedeemCode","Extension.value[x]","Extension.value[x]","","","",0,1,"","","","string {[]} {[]}
","Gibt den Einlösecode für eine DiGA an.","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA","","","",0,*,"","","","null {[]} {[]}
","Logical DiGA Medication Dispense","Fachliches Modell zur Beschreibung der Informationen, die bei $close in der MedicationDispense-Ressource für DiGAs übermittelt werden.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.id","GEM-ERP-LOG-MedicationDispense-DiGA.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.extension","GEM-ERP-LOG-MedicationDispense-DiGA.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.prescriptionId","GEM-ERP-LOG-MedicationDispense-DiGA.prescriptionId","","","",1,1,"","","","string {[]} {[]}
","ID des E-Rezepts","ID des E-Rezepts","","","","","","","","","",,,,,"",,,,"GEM-ERP-LOG-MedicationDispense-DiGA.prescriptionId",1,1,"",""
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.status","GEM-ERP-LOG-MedicationDispense-DiGA.status","","","",1,1,"","","","code {[]} {[]}
","Status fixedValue: #completed","Status fixedValue: #completed","","","","","","","","","",,,,,"",,,,"GEM-ERP-LOG-MedicationDispense-DiGA.status",1,1,"",""
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.patientKVNR","GEM-ERP-LOG-MedicationDispense-DiGA.patientKVNR","","","",1,1,"","","","string {[]} {[]}
","KVNR des Patienten","KVNR des Patienten","","","","","","","","","",,,,,"",,,,"GEM-ERP-LOG-MedicationDispense-DiGA.patientKVNR",1,1,"",""
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.angabeAbgebendeInstutition","GEM-ERP-LOG-MedicationDispense-DiGA.angabeAbgebendeInstutition","","","",1,1,"","","","Identifier {[]} {[]}
","Telematik-ID der abgebenden Institution","Telematik-ID der abgebenden Institution","","","","","","","","","",,,,,"",,,,"GEM-ERP-LOG-MedicationDispense-DiGA.angabeAbgebendeInstutition",1,1,"",""
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.freischaltCode","GEM-ERP-LOG-MedicationDispense-DiGA.freischaltCode","","","",0,1,"","","","string {[]} {[]}
","Freischaltcode für die DiGA","Optional, da die Kasse die Bereitstellung eines Freischaltcodes ablehnen kann.","","","","","","","","","",,,,,"",,,,"GEM-ERP-LOG-MedicationDispense-DiGA.freischaltCode",0,1,"",""
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.deepLink","GEM-ERP-LOG-MedicationDispense-DiGA.deepLink","","","",0,1,"","","","string {[]} {[]}
","Universeller Deep Link, der vom DiGA Hersteller bereitgestellt wird","Universeller Deep Link, der vom DiGA Hersteller bereitgestellt wird","","","","","","","","","",,,,,"",,,,"GEM-ERP-LOG-MedicationDispense-DiGA.deepLink",0,1,"",""
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA","GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA","","","",0,1,"","","","BackboneElement {[]} {[]}
","Angaben zur DiGA. Zwingend anzugeben, wenn ein Freischaltcode bereitgestellt wird.","Angaben zur DiGA. Zwingend anzugeben, wenn ein Freischaltcode bereitgestellt wird.","","","","","","","","","",,,,,"",,,,"GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.id","GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.extension","GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.modifierExtension","GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.name","GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.name","","","",1,1,"","","","string {[]} {[]}
","Name der DiGA-Verordnungseinheit","Name der DiGA-Verordnungseinheit","","","","","","","","","",,,,,"",,,,"GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.name",1,1,"",""
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.pzn","GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.pzn","","","",1,1,"","","","string {[]} {[]}
","Pharmazentralnummer als eindeutige Identifikationsnummer zu einer Verordnungseinheit einer digitalen Gesundheitsanwendung (PZN).","Pharmazentralnummer als eindeutige Identifikationsnummer zu einer Verordnungseinheit einer digitalen Gesundheitsanwendung (PZN).","","","","","","","","","",,,,,"",,,,"GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.pzn",1,1,"",""
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.dataAbsentReason","GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.dataAbsentReason","","","",0,1,"","","","code {[]} {[]}
","Wird angegeben, wenn kein Freischaltcode bereitgestellt wird. fixedValue: #unknown","Wird angegeben, wenn kein Freischaltcode bereitgestellt wird. fixedValue: #unknown","","","","","","","","","",,,,,"",,,,"GEM-ERP-LOG-MedicationDispense-DiGA.angabenZurDiGA.dataAbsentReason",0,1,"",""
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.datum","GEM-ERP-LOG-MedicationDispense-DiGA.datum","","","",1,1,"","","","dateTime {[]} {[]}
","Abgabedatum im Format YYYY-MM-DD","Abgabedatum im Format YYYY-MM-DD","","","","","","","","","",,,,,"",,,,"GEM-ERP-LOG-MedicationDispense-DiGA.datum",1,1,"",""
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.note","GEM-ERP-LOG-MedicationDispense-DiGA.note","","","",0,1,"","","","Annotation {[]} {[]}
","Wenn der Workflow abgeschlossen wird, ohne dass ein Freischaltcode bereitgestellt wird, muss dieser Wert angegeben werden.","Wenn der Workflow abgeschlossen wird, ohne dass ein Freischaltcode bereitgestellt wird, muss dieser Wert angegeben werden.","","","","","","","","","",,,,,"",,,,"GEM-ERP-LOG-MedicationDispense-DiGA.note",0,1,"",""
"GEM-ERP-LOG-MedicationDispense-DiGA","GEM-ERP-LOG-MedicationDispense-DiGA.substitution","GEM-ERP-LOG-MedicationDispense-DiGA.substitution","","","",0,0,"","","","BackboneElement {[]} {[]}
","Substitution darf lt. BAS nicht erfolgen.","Substitution darf lt. BAS nicht erfolgen.","","","","","","","","","",,,,,"",,,,"GEM-ERP-LOG-MedicationDispense-DiGA.substitution",0,0,"",""
"GEM-ERP-PR-Communication-DiGA","Communication","Communication","","","",0,*,"","","","null {[]} {[]}
","A record of information transmitted from a sender to a receiver","An occurrence of information being transmitted; e.g. an alert that was sent to a responsible provider, a public health agency that was notified about a reportable condition.","","","","","","","","","",,,,,"",,,,"Communication",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}"
"GEM-ERP-PR-Communication-DiGA","Communication.id","Communication.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"GEM-ERP-PR-Communication-DiGA","Communication.meta","Communication.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"GEM-ERP-PR-Communication-DiGA","Communication.implicitRules","Communication.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"GEM-ERP-PR-Communication-DiGA","Communication.language","Communication.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"preferred","A human language.","http://hl7.org/fhir/ValueSet/languages|4.0.1","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"GEM-ERP-PR-Communication-DiGA","Communication.text","Communication.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"GEM-ERP-PR-Communication-DiGA","Communication.contained","Communication.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"",""
"GEM-ERP-PR-Communication-DiGA","Communication.extension","Communication.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"GEM-ERP-PR-Communication-DiGA","Communication.modifierExtension","Communication.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"GEM-ERP-PR-Communication-DiGA","Communication.identifier","Communication.identifier","","","",0,*,"","","Y","Identifier {[]} {[]}
","Unique identifier","Business identifiers assigned to this communication by the performer or other systems which remain constant as the resource is updated and propagates from server to server.","This is a business identifier, not a resource identifier (see [discussion](http://hl7.org/fhir/R4/resource.html#identifiers)).  It is best practice for the identifier to only appear on a single resource instance, however business practices may occasionally dictate that multiple resource instances with the same identifier can exist - possibly even with different resource types.  For example, multiple Patient and a Person resource instance might share the same social insurance number.","Allows identification of the communication as it is known by various participating systems and in a way that remains consistent across servers.","","","","","","","",,,,,"",,,,"Communication.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
